BRANDS,COLORS,MEMORY,STORAGE,RATING,SELLING_PRICE,ORIGINAL_PRICE,DISCOUNT,DISCOUNT_PERCENTAGE
NOKIA,BLACK,4_GB,64_GB,3.9,12999,16799,3800,22.62039407107566
REALME,WHITE,8_GB,128_GB,4.3,27999,29999,2000,6.666888896296544
MOTOROLA,WHITE,1_GB,16_GB,3.9,5499,5499,0,0.0
REALME,GREY,4_GB,64_GB,4.4,9999,10999,1000,9.091735612328392
APPLE,BLACK,3_GB,256_GB,4.6,91900,91900,0,0.0
OPPO,BLACK,6_GB,128_GB,4.2,19990,20990,1000,4.76417341591234
ASUS,BLACK,8_GB,128_GB,4.3,26499,83999,57500,68.45319587137942
SAMSUNG,GOLD,3_GB,32_GB,4.4,12990,12990,0,0.0
LENOVO,BLUE,4_GB,64_GB,3.9,7990,9999,2009,20.09200920092009
OPPO,BLUE,6_GB,128_GB,4.3,16990,17990,1000,5.558643690939411
VIVO,BLUE,6_GB,64_GB,4.5,16989,16989,0,0.0
LENOVO,BLACK,1_GB,4_GB,3.8,7499,7499,0,0.0
APPLE,GREY,4_GB,256_GB,4.7,131900,131900,0,0.0
GIONEE,BLACK,3_GB,32_GB,4.0,6899,6950,51,0.7338129496402878
NOKIA,BLUE,3_GB,32_GB,3.9,13990,13990,0,0.0
VIVO,BLUE,4_GB,32_GB,4.4,22654,22654,0,0.0
INFINIX,OTHERS,6_GB,128_GB,4.5,14499,16999,2500,14.70674745573269
REALME,GREY,2_GB,32_GB,4.4,7499,7999,500,6.250781347668459
APPLE,GOLD,2_GB,16_GB,4.5,31999,31999,0,0.0
XIAOMI,BLUE,4_GB,64_GB,4.4,10121,10121,0,0.0
OPPO,WHITE,6_GB,128_GB,4.3,13899,13899,0,0.0
XIAOMI,BLACK,2_GB,32_GB,4.5,7589,7589,0,0.0
LG,SILVER,3_GB,32_GB,4.0,16990,16990,0,0.0
SAMSUNG,WHITE,4_GB,128_GB,4.3,19900,19900,0,0.0
HTC,RED,6_GB,128_GB,4.6,53990,53990,0,0.0
INFINIX,BLUE,2_GB,32_GB,4.3,7499,8999,1500,16.6685187243027
MOTOROLA,WHITE,4_GB,64_GB,4.1,10999,14999,4000,26.668444562970866
POCO,RED,6_GB,128_GB,4.4,11499,14999,3500,23.334888992599502
SAMSUNG,BLUE,1_GB,16_GB,4.2,6999,6999,0,0.0
SAMSUNG,BLACK,8_GB,128_GB,4.4,54999,83000,28001,33.73614457831325
SAMSUNG,BLACK,8_GB,128_GB,4.3,29998,29998,0,0.0
HTC,WHITE,1_GB,8_GB,3.9,7999,7999,0,0.0
GIONEE,BLUE,4_GB,64_GB,4.1,9250,9250,0,0.0
OPPO,BLUE,6_GB,64_GB,4.3,13990,20990,7000,33.34921391138637
MOTOROLA,OTHERS,6_GB,128_GB,4.3,16499,19999,3500,17.50087504375219
MOTOROLA,OTHERS,6_GB,128_GB,3.9,21499,24999,3500,14.000560022400895
MOTOROLA,BLACK,2_GB,16_GB,4.2,6999,6999,0,0.0
ASUS,BLACK,2_GB,16_GB,4.1,6990,6990,0,0.0
OPPO,BLACK,6_GB,64_GB,4.3,13990,20990,7000,33.34921391138637
OPPO,BLACK,3_GB,32_GB,4.1,10490,10490,0,0.0
SAMSUNG,BLACK,6_GB,128_GB,4.3,21099,26900,5801,21.565055762081784
XIAOMI,BLUE,4_GB,64_GB,4.4,11999,11999,0,0.0
NOKIA,BLACK,LESS_THAN_1GB,LESS_THAN_1GB,3.8,2790,2790,0,0.0
APPLE,BLUE,6_GB,256_GB,4.6,119900,119900,0,0.0
SAMSUNG,BLUE,6_GB,128_GB,4.2,23999,29999,6000,20.00066668888963
LENOVO,WHITE,2_GB,8_GB,4.0,8999,8999,0,0.0
XIAOMI,BLACK,6_GB,128_GB,4.4,17765,17765,0,0.0
APPLE,GOLD,3_GB,32_GB,4.5,36999,37900,901,2.3773087071240107
SAMSUNG,GOLD,3_GB,32_GB,4.0,33900,33900,0,0.0
REALME,WHITE,6_GB,64_GB,4.5,14999,15999,1000,6.250390649415588
SAMSUNG,GOLD,2_GB,32_GB,4.3,9499,9499,0,0.0
XIAOMI,OTHERS,8_GB,128_GB,4.4,23999,23999,0,0.0
SAMSUNG,BLACK,8_GB,128_GB,4.3,84999,95999,11000,11.458452692215545
INFINIX,GOLD,3_GB,32_GB,4.2,9999,9999,0,0.0
POCO,BLACK,3_GB,32_GB,4.3,7999,9999,2000,20.00200020002
APPLE,GOLD,2_GB,64_GB,4.5,38999,39900,901,2.2581453634085213
